E QSPR,S QSPR,A QSPR,B QSPR,V,L QSPR,MW,Ncharges,C,N,O,S,Cl,RNH2,R2NH,R3N,ROPO3,ROH,RCHO,RCOR,RCOOH,RCOOR,ROR,RCCH,RCN,RINGS,AROMATIC,log RRF
0.41,1.05,0.74,1,0.7055,3.11,82.0376,0,3,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,-3.298432015
0.35,0.89,0.73,1,0.7055,2.966,82.0376,0,3,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,-3.225483034
0.35,1.05,0.74,1,0.8464,3.583,94.0483,0,4,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,-3.04431225
0.95,1.09,0.63,1.24,0.9179,4.987,102.0736,0,5,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,-2.954677021
1.78,1.61,1.19,1.32,0.9816,7.18,106.0623,0,4,3,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,-2.950781977
0.81,1.35,0.62,1.2,1.0099,4.858,106.059,0,5,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,-2.774690718
0.44,0.89,0.62,0.93,0.9873,3.71,110.0477,0,4,1,3,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,-2.725842151
0.83,1.72,0.26,1,0.8357,4.16,116.077,0,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-2.640164518
0.79,1.32,0.46,0.74,0.8906,4.658,118.0697,0,6,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,-2.602059991
0.63,1.34,0.93,1.24,0.9051,4.06,118.0697,0,6,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,-2.578396073
0.62,1.27,0.97,1.56,1.0871,4.865,118.0697,0,6,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,-2.55129368
0.59,1.69,1.08,1.32,0.9208,4.591,124.0544,0,4,2,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,-2.542118103
3.65,3.09,2.26,4.12,3.1579,16.767,126.0471,0,4,1,4,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,-2.527243551
1.01,1.36,0.39,0.94,0.9317,4.898,130.087,0,5,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,-2.492144128
0.82,1.74,1.02,1.53,0.9619,4.831,126.1133,0,4,1,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,-2.391473966
0.82,1.74,1.02,1.65,1.1028,5.304,116.0737,0,7,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,-2.153044675
0.78,1.11,0.46,0.43,0.9317,4.736,126.0917,0,8,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,-2.143875556
0.59,1.69,1.19,1.44,1.0617,4.9,136.0651,0,5,2,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,-2.125518182
1.66,1.79,0.89,0.92,0.9229,6.861,132.0764,0,6,2,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,-2.11577123
1.23,1.26,0.98,1.07,1.2154,6.336,138.0578,0,5,1,4,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,-2.107348966
