Ionization_Mode,DTXSID,CASRN,Preferred_Name,mean_RT,n_Repeated_Hits,DTXSID_Isomer,Observed_Isomer,Isomer_Number,Isomer_Order,Questionable_Hit,Corrected_HighConc,Corrected_MidConc,Corrected_LowConc,mean_High_Intensity,mean_Mid_Intensity,mean_Low_Intensity,std_High_Intensity,std_Mid_Intensity,std_Low_Intensity,RF_HighConc,RF_MedConc,RF_LowConc,RF_Average,log_RF_Average,SMILES,QSAR_READY_SMILES,Desalted SMILES,E QSPR,S QSPR,A QSPR,B QSPR,V,L QSPR,MW,Ncharges,C,Cl,F,N,O,S,H,Br,I,P,RNH2,R2NH,R3N,ROPO3,ROH,RCHO,RCOR,RCOOH,RCOOR,ROR,RCCH,RCN,RINGS,AROMATIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Esi-,DTXSID0020022,50594-66-6,Acifluorfen,6.03,1,0,0,,,0,0.49,0.122,0.024,358515,118435,,,,,731663.2653,970778.6885,,851220.9769,5.93,OC(=O)C1=C(C=CC(OC2=CC=C(C=C2Cl)C(F)(F)F)=C1)[N+]([O-])=O,OC(=O)C1=C(C=CC(OC2=CC=C(C=C2Cl)C(F)(F)F)=C1)[N+]([O-])=O,OC(=O)C1=C(C=CC(OC2=CC=C(C=C2Cl)C(F)(F)F)=C1)[N]([O])=O,1.51,1.78,0.46,1.24,2.0888,9.441,354.6017096,0,14,1,3,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Esi-,DTXSID0020442,94-75-7,"2,4-Dichlorophenoxyacetic acid",2.38,1,0,0,,,0,0.49,0.122,0.024,1985741,433322,78237,,,,4052532.653,3551819.672,3259875,3621409.108,6.56,OC(=O)COC1=C(Cl)C=C(Cl)C=C1,OC(=O)COC1=C(Cl)C=C(Cl)C=C1,OC(=O)COC1=C(Cl)C=C(Cl)C=C1,1.35,1.24,0.74,0.56,1.3761,6.705,214.9898,0,8,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Esi-,DTXSID0020523,51-28-5,"2,4-Dinitrophenol",0.73,1,0,0,,,0,0.49,0.122,0.024,4419241,1177468,206675,,,,9018859.184,9651377.049,8611458.333,9093898.189,6.96,OC1=C(C=C(C=C1)[N+]([O-])=O)[N+]([O-])=O,OC1=C(C=C(C=C1)[N+]([O-])=O)[N+]([O-])=O,OC1=C(C=C(C=C1)[N]([O])=O)[N]([O])=O,1.17,1.53,0.41,1.43,1.1235,5.881,180.0746,0,6,0,0,2,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Esi-,DTXSID0020577,536-33-4,Ethionamide,1.8,1,0,0,,,0,0.49,0.122,0.024,2515290,741203,112162,,,,5133244.898,6075434.426,4673416.667,5294031.997,6.72,CCC1=NC=CC(=C1)C(N)=S,CCC1=NC=CC(=C1)C(N)=S,CCC1=NC=CC(=C1)C(N)=S,1.38,1.88,0.27,0.76,1.3183,6.09,156.164,0,8,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Esi-,DTXSID0020656,77-06-5,Gibberellic acid,0.71,1,0,0,,,0,0.49,0.122,0.024,86585,,,,,,176704.0816,,,176704.0816,5.25,C[C@@]12[C@H]3[C@H](C(O)=O)[C@@]45CC(=C)[C@@](O)(C4)CC[C@H]5[C@]3(OC1=O)C=C[C@@H]2O,CC12C3C(C(O)=O)C45CC(=C)C(O)(C4)CCC5C3(OC1=O)C=CC2O,C[C@@]12[C@H]3[C@H](C(O)=O)[C@@]45CC(=C)[C@@](O)(C4)CC[C@H]5[C@]3(OC1=O)C=C[C@@H]2O,1.83,3.2,1.07,1.58,2.4229,11.804,328.23146,0,19,0,0,0,6,0,4,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Esi-,DTXSID0021123,57-30-7,Phenobarbital sodium,2.5,1,0,0,,,0,0.49,0.122,0.024,462509,187932,,,,,943895.9184,1540426.23,,1242161.074,6.09,[Na+].CCC1(C(=O)NC([O-])=NC1=O)C1=CC=CC=C1,CCC1(C(=O)NC(O)=NC1=O)c1ccccc1,CCC1(C(=O)NC([O])=NC1=O)C1=CC=CC=C1,1.55,1.53,0.36,1.23,1.6784,7.806,220.14,0,12,0,0,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Esi-,DTXSID0021125,77-09-8,Phenolphthalein,5.11,1,0,0,,,0,0.49,0.122,0.024,2353052,546767,95721,,,,4802146.939,4481696.721,3988375,4424072.887,6.65,OC1=CC=C(C=C1)C1(OC(=O)C2=C1C=CC=C2)C1=CC=C(O)C=C1,OC1=CC=C(C=C1)C1(OC(=O)C2=C1C=CC=C2)C1=CC=C(O)C=C1,OC1=CC=C(C=C1)C1(OC(=O)C2=C1C=CC=C2)C1=CC=C(O)C=C1,2.39,2.69,1.06,1.23,2.297,13.129,304.2116,0,20,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Esi-,DTXSID0021256,599-79-1,Sulfasalazine,3.22,4,0,0,,,0,0.49,0.122,0.024,2880766,980577,206366,1438947,906029,199754,5879114.286,8037516.393,8598583.333,7505071.337,6.88,OC(=O)C1=CC(=CC=C1O)\N=N\C1=CC=C(C=C1)S(=O)(=O)NC1=NC=CC=C1,OC(=O)C1=CC(=CC=C1O)N=NC1=CC=C(C=C1)S(=O)(=O)NC1=CC=CC=N1,OC(=O)C1=CC(=CC=C1O)\N=N\C1=CC=C(C=C1)S(=O)(=O)NC1=NC=CC=C1,2.93,3.16,0.99,1.63,2.7022,14.625,384.2814,0,18,0,0,4,5,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Esi-,DTXSID0021460,17924-92-4,Zearalenone,7.97,1,0,0,,,0,0.49,0.122,0.024,8968045,3660856,743335,,,,18302132.65,30007016.39,30972291.67,26427146.9,7.42,C[C@H]1CCCC(=O)CCC\C=C\C2=C(C(O)=CC(O)=C2)C(=O)O1,CC1CCCC(=O)CCCC=CC2=CC(O)=CC(O)=C2C(=O)O1,C[C@H]1CCCC(=O)CCC\C=C\C2=C(C(O)=CC(O)=C2)C(=O)O1,1.59,1.82,1.02,1.42,2.4631,11.44,297.19754,0,18,0,0,0,5,0,1,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Esi-,DTXSID0021969,121-33-5,4-Hydroxy-3-methoxybenzaldehyde,1.14,1,0,0,,,0,0.732,0.244,0.061,863910,296310,72020,,,,1180204.918,1214385.246,1180655.738,1191748.634,6.08,COC1=C(O)C=CC(C=O)=C1,COC1=C(O)C=CC(C=O)=C1,COC1=C(O)C=CC(C=O)=C1,0.92,1.39,0.16,0.72,1.1313,5.896,144.0838,0,8,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
