Ionization_Mode,DTXSID,CASRN,Preferred_Name,mean_RT,n_Repeated_Hits,DTXSID_Isomer,Observed_Isomer,Isomer_Number,Isomer_Order,Questionable_Hit,Corrected_HighConc,Corrected_MidConc,Corrected_LowConc,mean_High_Intensity,mean_Mid_Intensity,mean_Low_Intensity,std_High_Intensity,std_Mid_Intensity,std_Low_Intensity,RF_HighConc,RF_MedConc,RF_LowConc,RF_Average,SMILES,QSAR_READY_SMILES,Desalted SMILES,Desalted SMILES Mod,E QSPR,S QSPR,A QSPR,B QSPR,V,L QSPR,MW,Ncharges,C,Cl,N,O,S,F,P,H,Br,Si,I,RNH2,R2NH,R3N,ROPO3,ROH,RCHO,RCOR,RCOOH,RCOOR,ROR,RCCH,RCN,RINGS,AROMATIC,log_RF_Average
Esi+,DTXSID0020311,150-68-5,Monuron,3.23,1,0,0,,,0,0.49,0.122,0.024,12504328,4920124,988659,,,,25519036.73,40328885.25,41194125,35680682.33,CN(C)C(=O)NC1=CC=C(Cl)C=C1,CN(C)C(=O)NC1=CC=C(Cl)C=C1,CN(C)C(=O)NC1=CC=C(Cl)C=C1,CN(C)C(=O)NC1=CC=C(Cl)C=C1,1.29,1.5,0.38,0.84,1.4768,7.367,187.5621,0,9,1,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,7.55
Esi+,DTXSID0020446,330-54-1,Diuron,5.7,1,0,0,,,0,0.49,0.122,0.024,20160320,6276298,1465305,,,,41143510.2,51445065.57,61054375,51214316.93,CN(C)C(=O)NC1=CC(Cl)=C(Cl)C=C1,CN(C)C(=O)NC1=CC(Cl)=C(Cl)C=C1,CN(C)C(=O)NC1=CC(Cl)=C(Cl)C=C1,CN(C)C(=O)NC1=CC(Cl)=C(Cl)C=C1,1.34,1.7,0.38,0.82,1.5992,8.135,223.0151,0,9,2,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,7.71
Esi+,DTXSID0020577,536-33-4,Ethionamide,1.8,4,0,0,,,0,0.49,0.122,0.024,14123976,4338620,937058,1773378,172828,130306,28824440.82,35562459.02,39044083.33,34476994.39,CCC1=NC=CC(=C1)C(N)=S,CCC1=NC=CC(=C1)C(N)=S,CCC1=NC=CC(=C1)C(N)=S,CCC1=NC=CC(=C1)C(N)=S,1.38,1.88,0.27,0.76,1.3183,6.09,156.164,0,8,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7.54
Esi+,DTXSID0021125,77-09-8,Phenolphthalein,5.12,1,0,0,,,0,0.49,0.122,0.024,4249976,1019892,178219,,,,8673420.408,8359770.492,7425791.667,8152994.189,OC1=CC=C(C=C1)C1(OC(=O)C2=C1C=CC=C2)C1=CC=C(O)C=C1,OC1=CC=C(C=C1)C1(OC(=O)C2=C1C=CC=C2)C1=CC=C(O)C=C1,OC1=CC=C(C=C1)C1(OC(=O)C2=C1C=CC=C2)C1=CC=C(O)C=C1,OC1=CC=C(C=C1)C1(OC(=O)C2=C1C=CC=C2)C1=CC=C(O)C=C1,2.39,2.69,1.06,1.23,2.297,13.129,304.2116,0,20,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,4,3,6.91
Esi+,DTXSID0021256,599-79-1,Sulfasalazine,3.24,1,0,0,,,0,0.49,0.122,0.024,4067843,1454290,306596,,,,8301720.408,11920409.84,12774833.33,10998987.86,OC(=O)C1=CC(=CC=C1O)\N=N\C1=CC=C(C=C1)S(=O)(=O)NC1=NC=CC=C1,OC(=O)C1=CC(=CC=C1O)N=NC1=CC=C(C=C1)S(=O)(=O)NC1=CC=CC=N1,OC(=O)C1=CC(=CC=C1O)\N=N\C1=CC=C(C=C1)S(=O)(=O)NC1=NC=CC=C1,OC(=O)C1=CC(=CC=C1O)\N=N\C1=CC=C(C=C1)S(=O)(=O)NC1=NC=CC=C1,2.93,3.16,0.99,1.63,2.7022,14.625,384.2814,0,18,0,4,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,3,7.04
Esi+,DTXSID0021337,148-79-8,Thiabendazole,2.68,1,0,0,,,0,0.49,0.122,0.024,15747970,6071164,1218876,,,,32138714.29,49763639.34,50786500,44229617.88,N1C2=C(C=CC=C2)N=C1C1=CSC=N1,N1C2=C(C=CC=C2)N=C1C1=CSC=N1,N1C2=C(C=CC=C2)N=C1C1=CSC=N1,N1C2=C(C=CC=C2)N=C1C1=CSC=N1,2.12,2.22,0.46,0.74,1.3967,8.236,194.1921,0,10,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,7.65
Esi+,DTXSID0022563,54965-21-8,Albendazole,6.84,1,0,0,,,0,0.49,0.122,0.024,32233972,9911450,1972462,,,,65783616.33,81241393.44,82185916.67,76403642.15,CCCSC1=CC=C2NC(NC(=O)OC)=NC2=C1,CCCSC1=CC=C2NC(NC(=O)OC)=NC2=C1,CCCSC1=CC=C2NC(NC(=O)OC)=NC2=C1,CCCSC1=CC=C2NC(NC(=O)OC)=NC2=C1,1.94,1.74,0.71,1.03,1.9475,10.529,250.2123,0,12,0,3,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,2,2,7.88
Esi+,DTXSID0022777,169590-42-5,Celecoxib,9.02,1,0,0,,,0,0.49,0.122,0.024,1167245,589697,169924,,,,2382132.653,4833581.967,7080166.667,4765293.762,CC1=CC=C(C=C1)C1=CC(=NN1C1=CC=C(C=C1)S(N)(=O)=O)C(F)(F)F,CC1=CC=C(C=C1)C1=CC(=NN1C1=CC=C(C=C1)S(N)(=O)=O)C(F)(F)F,CC1=CC=C(C=C1)C1=CC(=NN1C1=CC=C(C=C1)S(N)(=O)=O)C(F)(F)F,CC1=CC=C(C=C1)C1=CC(=NN1C1=CC=C(C=C1)S(N)(=O)=O)C(F)(F)F,2.29,2.29,0.61,1.47,2.4675,12.233,367.2610096,0,17,0,3,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6.68
Esi+,DTXSID0023951,5234-68-4,Carboxin,4.11,1,0,0,,,0,0.49,0.122,0.024,14664020,5093704,928312,,,,29926571.43,41751672.13,38679666.67,36785970.08,CC1=C(SCCO1)C(=O)NC1=CC=CC=C1,CC1=C(SCCO1)C(=O)NC1=CC=CC=C1,CC1=C(SCCO1)C(=O)NC1=CC=CC=C1,CC1=C(SCCO1)C(=O)NC1=CC=CC=C1,1.71,1.84,0.49,1.07,1.7479,8.373,222.1989,0,12,0,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,2,7.57
Esi+,DTXSID0025101,99-07-0,3-Dimethylaminophenol,2.23,1,0,0,,,0,0.49,0.122,0.024,3674650,1088345,198677,,,,7499285.714,8920860.656,8278208.333,8232784.901,CN(C)C1=CC=CC(O)=C1,CN(C)C1=CC=CC(O)=C1,CN(C)C1=CC=CC(O)=C1,CN(C)C1=CC=CC(O)=C1,1.1,1.25,0.68,0.71,1.1567,5.422,126.0917,0,8,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,6.92
